station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2,source_file
AJAC,G23,8,1620.7904296270583,-27.107879507225388,3.226536419599248,0.4569011775073205,-2.769635242091927,20.742547935663595,-8.532610451997579,29.27515838766117,0.979934208770751,phase31_AJAC_summary.csv
AJAC,G24,6,1576.625275243657,-26.70029116463189,4.517346222743936,0.3494830113335248,-4.167863211410412,20.0950964307249,-8.61560392372966,28.71070035445456,0.9897876805966884,phase31_AJAC_summary.csv
AJAC,G25,6,839.2128094859152,-14.65108464691072,1.4769925800440504,0.0057565683246479,-1.4712360117194023,6.68009575843719,-57.88896510548952,64.56906086392671,0.999215736549879,phase31_AJAC_summary.csv
AJAC,G26,7,1044.5736097296829,-17.964518237410548,0.8107748340109764,0.0290032380653383,-0.7817715959456379,-0.9367086469415896,-45.564869169247984,44.6281605223064,0.9975077572575384,phase31_AJAC_summary.csv
AJAC,G27,10,1444.3174110444168,-24.640613892071944,2.3341143599386185,0.3323995381495133,-2.001714821789105,18.95265060134076,-18.02835210887413,36.98100271021489,0.9765718796771466,phase31_AJAC_summary.csv
AJAC,G28,7,1350.07426061402,-22.701381544340588,2.3568708662852167,0.2855865948855699,-2.0712842713996467,14.00268769185443,-13.544939808108204,27.547627499962637,0.9852135265831836,phase31_AJAC_summary.csv
AJAC,G29,9,1264.9266843496705,-21.335746052650972,1.817774536546365,0.1461938328263419,-1.6715807037200232,12.757033473738977,-30.610794482357868,43.367827956096846,0.991668265240008,phase31_AJAC_summary.csv
AJAC,G30,11,1196.7858038182846,-20.341513851872605,1.669109640523709,0.1798099903157426,-1.4892996502079665,13.270387367073845,-33.74880108993119,47.01918845700504,0.988383959155518,phase31_AJAC_summary.csv
AJAC,G31,6,1252.5621982053956,-21.217607836909085,1.7907861163195669,0.2013389512145325,-1.5894471651050344,8.991856334881982,-15.23318560065541,24.22504193553739,0.9867996960431578,phase31_AJAC_summary.csv
AJAC,G32,9,1082.7464020602313,-18.52839754655333,1.1678356428195813,0.0735384859387974,-1.0942971568807838,4.79273883932802,-42.97903504859474,47.77177388792276,0.9947143462861446,phase31_AJAC_summary.csv
ALIC,G01,17,1364.6436356383372,-22.888990259130026,2.3876511550393418,0.34904504223451,-2.038606112804832,31.59054348091773,-31.786846344958185,63.37738982587592,0.9786009821909512,phase31_ALIC_summary.csv
ALIC,G02,21,1190.47190374807,-20.102728680891115,1.6497075466142008,0.2714925546359166,-1.3782149919782842,23.02511716451673,-50.760463648364464,73.7855808128812,0.9720050521886542,phase31_ALIC_summary.csv
ALIC,G03,15,1367.6806588024492,-22.83740807506856,2.141676902440447,0.3767119211615116,-1.7649649812789354,24.84767364354133,-25.288235554522235,50.13590919806357,0.9661172041543344,phase31_ALIC_summary.csv
ALIC,G04,12,1323.6962482030656,-22.279590944472154,2.502544330309896,0.3498221879460064,-2.1527221423638894,24.015390715037334,-21.20792691276511,45.223317627802444,0.9783488749727194,phase31_ALIC_summary.csv
ALIC,G05,13,1137.909969975213,-19.36503988737037,1.073045578295339,0.0988683096176542,-0.9741772686776848,3.8330244449006976,-56.16312952621483,59.99615397111553,0.9909853318731544,phase31_ALIC_summary.csv
ALIC,G06,24,1391.2265157888826,-23.260717772595832,3.247519020207005,0.374762024139585,-2.87275699606742,58.538783668262816,-43.11027472406873,101.64905839233154,0.9845913379557518,phase31_ALIC_summary.csv
ALIC,G07,23,1355.7590720539097,-22.76918889588346,2.3960967840779346,0.4875606670755002,-1.9085361170024344,42.196689379155245,-29.04366534617616,71.2403547253314,0.9583309322392544,phase31_ALIC_summary.csv
ALIC,G08,17,1249.9908468822557,-20.947642022070465,1.951882870777864,0.2658725718097078,-1.6860102989681562,24.73901236984707,-41.04109670322391,65.78010907307097,0.97934626551983,phase31_ALIC_summary.csv
ALIC,G09,18,1403.4793472048807,-23.60014080491807,2.405008370864515,0.5352216145159238,-1.8697867563485917,33.59192182978207,-18.502677864204166,52.09459969398624,0.9502000987218912,phase31_ALIC_summary.csv
ALIC,G10,23,1314.7238302841813,-22.094404802411653,2.156398386850281,0.3848583440974195,-1.7715400427528616,37.34821315990763,-39.92447769122456,77.27269085113218,0.96814234746001,phase31_ALIC_summary.csv
ALIC,G11,23,1406.535550325001,-23.38368014045541,2.669115422217665,0.3456142366666843,-2.3235011855509806,47.16036728904075,-44.87187424673178,92.03224153577251,0.983108717314681,phase31_ALIC_summary.csv
ALIC,G12,23,1429.119275915728,-23.987413237695304,2.4292968279843947,0.4773897936050381,-1.9519070343793563,42.82968483672798,-30.01340944388961,72.84309428061759,0.961371379339974,phase31_ALIC_summary.csv
