time_utc,et,L_km,L_m,L_AU
1979-03-05 12:23:00,-657243369.8145592,349691.771382642,349691771.382642,0.00233754511174765
1979-03-05 12:24:00,-657243309.8145592,349783.8857000209,349783885.7000209,0.0023381608579273777
1979-03-05 12:25:00,-657243249.8145592,349880.8945156975,349880894.5156975,0.002338809321807396
1979-03-05 12:26:00,-657243189.8145592,349982.7927387708,349982792.7387708,0.0023394904693571335
1979-03-05 12:27:00,-657243129.8145592,350089.575027675,350089575.02767503,0.0023402042648704292
1979-03-05 12:28:00,-657243069.8145592,350201.2357912521,350201235.79125214,0.0023409506709726993
1979-03-05 12:29:00,-657243009.8145592,350317.7691914581,350317769.1914581,0.002341729648639031
1979-03-05 12:30:00,-657242949.8145592,350439.1691457387,350439169.1457387,0.002342541157210059
1979-03-05 12:31:00,-657242889.8145592,350565.42932332,350565429.32332,0.002343385154367174
1979-03-05 12:32:00,-657242829.8145592,350696.5431536785,350696543.1536785,0.0023442615961891396
1979-03-05 12:33:00,-657242769.8145592,350832.5038211698,350832503.8211698,0.0023451704371161867
1979-03-05 12:34:00,-657242709.8145592,350973.3042715376,350973304.2715376,0.002346111629993525
1979-03-05 12:35:00,-657242649.8145592,351118.9372136355,351118937.2136355,0.002347085126082851
1979-03-05 12:36:00,-657242589.8145592,351269.3951156078,351269395.1156078,0.0023480908750368188
1979-03-05 12:37:00,-657242529.8145592,351424.6702150107,351424670.2150107,0.002349128824966696
1979-03-05 12:38:00,-657242469.8145592,351584.7545115189,351584754.51151896,0.0023501989223936124
1979-03-05 12:39:00,-657242409.8145592,351749.63977611874,351749639.77611876,0.002351301112310008
1979-03-05 12:40:00,-657242349.8145592,351919.31754968053,351919317.54968053,0.0023524353381700943
1979-03-05 12:41:00,-657242289.8145592,352093.7791463141,352093779.1463141,0.0023536015419122814
1979-03-05 12:42:00,-657242229.8145592,352273.01565137174,352273015.6513717,0.00235479966394583
1979-03-05 12:43:00,-657242169.8145592,352457.0179288622,352457017.9288622,0.002356029643200411
1979-03-05 12:44:00,-657242109.8145592,352645.77662118245,352645776.62118244,0.0023572914171243113
1979-03-05 12:45:00,-657242049.8145592,352839.2821505879,352839282.15058786,0.0023585849216942625
1979-03-05 12:46:00,-657241989.8145592,353037.524722009,353037524.722009,0.0023599100914342697
1979-03-05 12:47:00,-657241929.8145592,353240.4943248864,353240494.32488644,0.002361266859427876
1979-03-05 12:48:00,-657241869.8145592,353448.18073596933,353448180.7359693,0.002362655157336871
1979-03-05 12:49:00,-657241809.8145592,353660.5735212249,353660573.5212249,0.002364074915414053
1979-03-05 12:50:00,-657241749.8145592,353877.66203766986,353877662.03766984,0.0023655260625154734
1979-03-05 12:51:00,-657241689.8145592,354099.4354368142,354099435.4368142,0.0023670085261234554
1979-03-05 12:52:00,-657241629.8145592,354325.8826664283,354325882.66642827,0.002368522232358407
1979-03-05 12:53:00,-657241569.8145592,354556.9924721242,354556992.4721242,0.002370067105989392
1979-03-05 12:54:00,-657241509.8145592,354792.75340188533,354792753.40188533,0.002371643070464407
1979-03-05 12:55:00,-657241449.8145592,355033.1538054872,355033153.8054872,0.0023732500479065124
1979-03-05 12:56:00,-657241389.8145592,355278.1818400615,355278181.8400615,0.0023748879591510225
1979-03-05 12:57:00,-657241329.8145592,355527.8254708151,355527825.4708151,0.002376556723750314
1979-03-05 12:58:00,-657241269.8145592,355782.0724742532,355782072.4742532,0.0023782562599953716
1979-03-05 12:59:00,-657241209.8145592,356040.91043987585,356040910.43987584,0.0023799864849271273
1979-03-05 13:00:00,-657241149.8145592,356304.3267742927,356304326.7742927,0.002381747314363965
1979-03-05 13:01:00,-657241089.8145592,356572.30870178173,356572308.70178175,0.002383538662905459
1979-03-05 13:02:00,-657241029.8145592,356844.8432700552,356844843.2700552,0.002385360443970913
1979-03-05 13:03:00,-657240969.8145592,357121.917348236,357121917.348236,0.002387212569785835
1979-03-05 13:04:00,-657240909.8145592,357403.51763474336,357403517.63474333,0.002389094951434649
1979-03-05 13:05:00,-657240849.8145592,357689.6306573115,357689630.65731156,0.0023910074988608213
1979-03-05 13:06:00,-657240789.8145592,357980.2427743676,357980242.77436763,0.0023929501208760696
1979-03-05 13:07:00,-657240729.8145592,358275.3401805229,358275340.18052286,0.0023949227251970698
1979-03-05 13:08:00,-657240669.8145592,358574.90890882805,358574908.908828,0.002396925218460533
1979-03-05 13:09:00,-657240609.8145592,358878.93483107624,358878934.83107626,0.002398957506225229
1979-03-05 13:10:00,-657240549.8145592,359187.40366430953,359187403.6643095,0.0024010194930154816
1979-03-05 13:11:00,-657240489.8145592,359500.30097017647,359500300.97017646,0.002403111082316872
1979-03-05 13:12:00,-657240429.8145592,359817.61216075026,359817612.16075027,0.0024052321766151333
1979-03-05 13:13:00,-657240369.8145592,360139.3224983294,360139322.4983294,0.0024073826773948156
1979-03-05 13:14:00,-657240309.8145592,360465.4171011635,360465417.10116345,0.0024095624851775614
1979-03-05 13:15:00,-657240249.8145592,360795.8809451141,360795880.94511414,0.002411771499533209
1979-03-05 13:16:00,-657240189.8145592,361130.69886461383,361130698.86461383,0.002414009619086202
1979-03-05 13:17:00,-657240129.8145592,361469.85555934726,361469855.5593473,0.002416276741560248
1979-03-05 13:18:00,-657240069.8145592,361813.3355938728,361813335.59387285,0.002418572763775794
1979-03-05 13:19:00,-657240009.8145592,362161.1234019473,362161123.4019473,0.0024208975816789307
1979-03-05 13:20:00,-657239949.8145592,362513.20329001005,362513203.29001004,0.0024232510903646844
1979-03-05 13:21:00,-657239889.8145592,362869.5594365702,362869559.4365702,0.002425633184072922
1979-03-05 13:22:00,-657239829.8145592,363230.1759005124,363230175.9005124,0.0024280437562438674
1979-03-05 13:23:00,-657239769.8145592,363595.0366198218,363595036.6198218,0.0024304826995095847
1979-03-05 13:24:00,-657239709.8145592,363964.12541582715,363964125.41582716,0.002432949905722336
1979-03-05 13:25:00,-657239649.8145592,364337.425996312,364337425.996312,0.0024354452659753802
1979-03-05 13:26:00,-657239589.8145592,364714.92195822764,364714921.95822763,0.00243796867062111
1979-03-05 13:27:00,-657239529.8145592,365096.59678986337,365096596.78986335,0.002440520009285556
1979-03-05 13:28:00,-657239469.8145592,365482.4338747325,365482433.8747325,0.0024430991708943657
1979-03-05 13:29:00,-657239409.8145592,365872.41649381054,365872416.49381053,0.0024457060436877632
1979-03-05 13:30:00,-657239349.8145592,366266.52782845654,366266527.8284565,0.002448340515240078
1979-03-05 13:31:00,-657239289.8145592,366664.7509634886,366664750.9634886,0.0024510024724803026
1979-03-05 13:32:00,-657239229.8145592,367067.0688897348,367067068.8897348,0.0024536918017091457
1979-03-05 13:33:00,-657239169.8145592,367473.46450785117,367473464.5078512,0.002456408388624553
1979-03-05 13:34:00,-657239109.8145592,367883.9206283987,367883920.6283987,0.002459152118322221
1979-03-05 13:35:00,-657239049.8145592,368298.4199785605,368298419.97856045,0.002461922875340501
1979-03-05 13:36:00,-657238989.8145592,368716.9452021741,368716945.20217407,0.002464720543660613
1979-03-05 13:37:00,-657238929.8145592,369139.4788633047,369139478.86330473,0.0024675450067305317
1979-03-05 13:38:00,-657238869.8145592,369566.00344846817,369566003.44846815,0.0024703961474798466
1979-03-05 13:39:00,-657238809.8145592,369996.50137121684,369996501.37121683,0.0024732738483504157
1979-03-05 13:40:00,-657238749.8145592,370430.95497207396,370430954.972074,0.002476177991295928
1979-03-05 13:41:00,-657238689.8145592,370869.34652464115,370869346.52464116,0.00247910845782273
1979-03-05 13:42:00,-657238629.8145592,371311.6582348983,371311658.23489827,0.0024820651289851436
1979-03-05 13:43:00,-657238569.8145592,371757.8722458616,371757872.24586165,0.002485047885416605
1979-03-05 13:44:00,-657238509.8145592,372207.97064117825,372207970.64117825,0.002488056607353692
