time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1986-01-24 04:06:00,-439804384.8154153,2677114087.467287,2677114087467.287,17.89540235392727,8.193888354047216,25.3087912718455
1986-01-24 04:07:00,-439804324.8154153,2677115606.014865,2677115606014.8647,17.89541250479085,8.193889380606977,25.309126297632854
1986-01-24 04:08:00,-439804264.8154153,2677117124.582582,2677117124582.582,17.89542265578906,8.193890407179927,25.3094619512558
1986-01-24 04:09:00,-439804204.8154153,2677118643.170473,2677118643170.473,17.89543280692212,8.193891433766082,25.30979818503062
1986-01-24 04:10:00,-439804144.8154153,2677120161.778577,2677120161778.5767,17.895442958190294,8.193892460365474,25.310135062535604
1986-01-24 04:11:00,-439804084.8154153,2677121680.406931,2677121680406.931,17.895453109593834,8.193893486978126,25.31047256787618
1986-01-24 04:12:00,-439804024.8154153,2677123199.055571,2677123199055.572,17.895463261132978,8.19389451360406,25.310810669263205
1986-01-24 04:13:00,-439803964.8154153,2677124717.724536,2677124717724.536,17.89547341280798,8.193895540243311,25.31114941438039
1986-01-24 04:14:00,-439803904.8154153,2677126236.413864,2677126236413.864,17.895483564619106,8.193896566895894,25.311488803227743
1986-01-24 04:15:00,-439803844.8154153,2677127755.123589,2677127755123.589,17.895493716566577,8.193897593561838,25.31182874838511
1986-01-24 04:16:00,-439803784.8154153,2677129273.853753,2677129273853.753,17.895503868650675,8.19389862024117,25.31216940085093
1986-01-24 04:17:00,-439803724.8154153,2677130792.604392,2677130792604.392,17.895514020871637,8.193899646933916,25.3125106493632
1986-01-24 04:18:00,-439803664.8154153,2677132311.375544,2677132311375.5435,17.895524173229717,8.1939006736401,25.312852533658347
1986-01-24 04:19:00,-439803604.8154153,2677133830.1672463,2677133830167.2466,17.895534325725176,8.193901700359746,25.313195037841798
1986-01-24 04:20:00,-439803544.8154153,2677135348.979539,2677135348979.539,17.895544478358268,8.193902727092881,25.31353820959727
1986-01-24 04:21:00,-439803484.8154153,2677136867.8124595,2677136867812.4595,17.89555463112925,8.193903753839534,25.313882009188333
1986-01-24 04:22:00,-439803424.8154153,2677138386.666045,2677138386666.0454,17.89556478403837,8.193904780599727,25.314226428667705
1986-01-24 04:23:00,-439803364.8154153,2677139905.5403347,2677139905540.3345,17.895574937085886,8.193905807373486,25.31457149187724
1986-01-24 04:24:00,-439803304.8154153,2677141424.435368,2677141424435.368,17.895585090272064,8.19390683416084,25.314917222658792
1986-01-24 04:25:00,-439803244.8154153,2677142943.3511825,2677142943351.1826,17.895595243597157,8.193907860961815,25.315263573328654
1986-01-24 04:26:00,-439803184.8154153,2677144462.2878184,2677144462287.8184,17.895605397061434,8.193908887776434,25.31561059951782
