model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.22,-0.68,-19.436814573305888,1182.306087559919,30.665772233019887,1212.9718597929389,1059
TFGR,0.22,-0.66,-19.435279233810945,1177.438368985308,30.31856109785756,1207.7569300831656,1059
TFGR,0.22,-0.64,-19.4337413197337,1172.6358122576826,29.972307124667285,1202.60811938235,1059
TFGR,0.22,-0.62,-19.43220083204092,1167.8993200994687,29.627066060453792,1197.5263861599226,1059
TFGR,0.22,-0.6,-19.430657771780133,1163.2298015227962,29.282895395695604,1192.5126969184917,1059
TFGR,0.22,-0.5800000000000001,-19.429112140080257,1158.628171802763,28.939854413035338,1187.5680262157985,1059
TFGR,0.22,-0.56,-19.427563938152314,1154.0953524489262,28.59800423722295,1182.6933566861492,1059
TFGR,0.22,-0.54,-19.42601316729004,1149.632271174999,28.257407886340168,1177.8896790613392,1059
TFGR,0.22,-0.52,-19.42445982887057,1145.2398618667453,27.91813032433562,1173.157992191081,1059
TFGR,0.22,-0.5,-19.42290392435509,1140.9190645480173,27.580238514899463,1168.4993030629169,1059
TFGR,0.22,-0.48,-19.421345455289426,1136.6708253449524,27.24380147670801,1163.9146268216605,1059
TFGR,0.22,-0.45999999999999996,-19.419784423304762,1132.4960964482916,26.908890340068197,1159.4049867883598,1059
TFGR,0.22,-0.43999999999999995,-19.418220830118177,1128.395836073743,26.57557840499304,1154.971414478736,1059
TFGR,0.22,-0.42,-19.416654677533334,1124.3710084204865,26.243941200739517,1150.614949621226,1059
TFGR,0.22,-0.39999999999999997,-19.415085967441055,1120.4225836277033,25.91405654684025,1146.3366401745436,1059
TFGR,0.22,-0.37999999999999995,-19.41351470181992,1116.5515377291058,25.586004615661768,1142.1375423447676,1059
TFGR,0.22,-0.36,-19.411940882736893,1112.758852605542,25.25986799652163,1138.0187206020637,1059
