time_utc,et,L_km,L_m,L_AU
1986-01-24 04:14:00,-439803904.8154153,2677126236.4138637,2677126236413.864,17.895483564619106
1986-01-24 04:15:00,-439803844.8154153,2677127755.123589,2677127755123.589,17.895493716566577
1986-01-24 04:16:00,-439803784.8154153,2677129273.853753,2677129273853.753,17.895503868650675
1986-01-24 04:17:00,-439803724.8154153,2677130792.604392,2677130792604.392,17.895514020871637
1986-01-24 04:18:00,-439803664.8154153,2677132311.3755436,2677132311375.5435,17.895524173229717
1986-01-24 04:19:00,-439803604.8154153,2677133830.1672463,2677133830167.2466,17.895534325725176
1986-01-24 04:20:00,-439803544.8154153,2677135348.979539,2677135348979.539,17.895544478358268
1986-01-24 04:21:00,-439803484.8154153,2677136867.8124595,2677136867812.4595,17.89555463112925
1986-01-24 04:22:00,-439803424.8154153,2677138386.666045,2677138386666.0454,17.89556478403837
1986-01-24 04:23:00,-439803364.8154153,2677139905.5403347,2677139905540.3345,17.895574937085886
1986-01-24 04:24:00,-439803304.8154153,2677141424.435368,2677141424435.368,17.895585090272064
1986-01-24 04:25:00,-439803244.8154153,2677142943.3511825,2677142943351.1826,17.895595243597157
1986-01-24 04:26:00,-439803184.8154153,2677144462.2878184,2677144462287.8184,17.895605397061434
1986-01-24 04:27:00,-439803124.8154153,2677145981.245313,2677145981245.313,17.895615550665145
1986-01-24 04:28:00,-439803064.8154153,2677147500.2237067,2677147500223.7065,17.895625704408552
1986-01-24 04:29:00,-439803004.8154153,2677149019.2230377,2677149019223.0376,17.895635858291918
1986-01-24 04:30:00,-439802944.8154153,2677150538.243346,2677150538243.346,17.89564601231551
1986-01-24 04:31:00,-439802884.8154153,2677152057.284671,2677152057284.671,17.895656166479586
1986-01-24 04:32:00,-439802824.8154153,2677153576.347051,2677153576347.0513,17.895666320784414
1986-01-24 04:33:00,-439802764.8154153,2677155095.430527,2677155095430.5273,17.895676475230253
1986-01-24 04:34:00,-439802704.8154153,2677156614.535138,2677156614535.138,17.895686629817373
1986-01-24 04:35:00,-439802644.8154153,2677158133.6609235,2677158133660.9233,17.895696784546036
1986-01-24 04:36:00,-439802584.8154153,2677159652.807924,2677159652807.924,17.895706939416513
1986-01-24 04:37:00,-439802524.8154153,2677161171.97618,2677161171976.18,17.895717094429074
1986-01-24 04:38:00,-439802464.8154153,2677162691.165731,2677162691165.731,17.89572724958398
1986-01-24 04:39:00,-439802404.8154153,2677164210.3766165,2677164210376.6167,17.895737404881505
1986-01-24 04:40:00,-439802344.8154153,2677165729.608878,2677165729608.878,17.895747560321915
1986-01-24 04:41:00,-439802284.8154153,2677167248.8625555,2677167248862.5557,17.895757715905482
