z,mu_SN,mu_err,mu_model,residual
0.25577,21.3344,0.1818,21.20963890065148,0.1247610993485182
0.08859,18.64345,0.10605,18.681240772972952,-0.03779077297295075
0.11782,19.19345,0.0991,19.343723556989683,-0.15027355698968492
0.18356,20.2951,0.1284,20.397822057986193,-0.10272205798619183
0.14055,19.871,0.11635,19.75927867624986,0.11172132375013888
0.15171,19.7933,0.10325,19.940784709142687,-0.14748470914268808
0.094,18.889,0.10285,18.818105720620718,0.0708942793792815
0.28631,21.6827,0.1504,21.49073504828188,0.1919649517181199
0.26318,21.3576,0.14295,21.280560708904442,0.07703929109555929
0.14167,19.79675,0.1047,19.778089028058385,0.01866097194161398
0.16053,19.9329,0.1156,20.075648872690063,-0.14274887269006342
0.1229,19.3948,0.11665,19.442739061873386,-0.047939061873385924
0.1262,19.36855,0.113,19.505024242721564,-0.13647424272156528
0.17331,20.15345,0.09925,20.259342675777543,-0.10589267577754313
0.16448,20.03175,0.1083,20.13383016681315,-0.10208016681315257
0.16018,19.92285,0.11045,20.07043005545319,-0.14758005545319008
0.24488,20.86815,0.1298,21.101913327259165,-0.23376332725916527
0.24805,20.98175,0.13435,21.13371776781049,-0.15196776781048982
0.27511,21.37075,0.15505,21.390987601269554,-0.020237601269553096
0.33015,21.9321,0.1589,21.8496123784719,0.08248762152809874
0.3307,21.82885,0.1481,21.853830633860692,-0.024980633860693047
0.1604,19.98615,0.10955,20.07371191872161,-0.08756191872161168
0.21861,20.87005,0.13435,20.822762512327916,0.04728748767208302
0.12005,19.36835,0.1021,19.38767278712621,-0.019322787126210272
0.17818,20.72835,0.1286,20.32605580433896,0.40229419566103886
0.279,21.50115,0.13265,21.426046620704955,0.07510337929504374
0.18562,20.48365,0.1298,20.42478787517228,0.05886212482771924
0.06641,17.9881,0.1134,18.021420427161527,-0.03332042716152728
0.25769,21.2775,0.14285,21.2281942652456,0.049305734754398145
0.27946,21.2773,0.1398,21.43016299700778,-0.15286299700778017
0.2655,21.0609,0.1301,21.30238958018587,-0.24148958018587052
0.18478,20.37525,0.1056,20.413825417495413,-0.03857541749541227
0.05715,17.65695,0.1072,17.680796017060157,-0.02384601706015843
0.32601,21.6733,0.1464,21.817652174501088,-0.14435217450108695
0.10902,19.1721,0.10285,19.162304340417084,0.009795659582916727
0.20299,20.7001,0.1382,20.6417784609645,0.05832153903550008
0.37949,22.13745,0.1395,22.204607089869608,-0.06715708986960678
0.21198,20.68915,0.12295,20.747444715415337,-0.05829471541533593
0.21327,20.78295,0.1364,20.762267676176112,0.02068232382388757
0.14393,19.83575,0.113,19.815627281359323,0.020122718640678272
0.25218,21.1678,0.16095,21.17459887802171,-0.006798878021708532
0.25641,21.2758,0.1749,21.215838102305927,0.05996189769407323
0.2186,20.976,0.1685,20.82265049853839,0.15334950146160864
0.07883,18.5397,0.12205,18.41291650723277,0.1267834927672311
0.08328,18.7438,0.11605,18.53896158246405,0.20483841753594945
