z,mu_SN,mu_err,mu_model_best,residual
0.0718,18.0121,0.1254,18.204029872735866,-0.19192987273586581
0.13796,19.66285,0.10475,19.71852146602314,-0.0556714660231421
0.16941,20.46515,0.1317,20.207220797661414,0.2579292023385875
0.24527,20.7198,0.14705,21.106676610606712,-0.38687661060671275
0.14406,19.81665,0.10485,19.820914172149052,-0.00426417214905328
0.25163,21.2338,0.1462,21.16987478450362,0.0639252154963792
0.03743,16.7708,0.1166,16.735754011802264,0.03504598819773719
0.27716,21.8807,0.2055,21.409621758662695,0.471078241337306
0.28712,21.2668,0.1491,21.497684764400063,-0.2308847644000629
0.19845,20.61015,0.13895,20.588668841650076,0.02148115834992481
0.16031,20.07605,0.129,20.075143309959437,0.000906690040562097
0.21053,21.0136,0.15075,20.732309303474977,0.2812906965250228
0.23753,21.0147,0.1316,21.027700690051233,-0.013000690051232056
0.15499,20.14265,0.11795,19.994663931129246,0.14798606887075394
0.0939,18.94955,0.14945,18.81992586692494,0.12962413307505827
0.15253,20.08555,0.11355,19.95657713748693,0.12897286251306994
0.25693,21.2741,0.1446,21.221428266631655,0.05267173336834574
0.21231,20.80065,0.1303,20.752828879187362,0.047821120812638895
0.24583,20.88445,0.13085,21.1123013470348,-0.22785134703480026
0.13679,19.76485,0.11075,19.698399976401838,0.06645002359816132
0.32529,21.9051,0.1809,21.811065497146302,0.09403450285369885
0.10643,19.09035,0.10245,19.11027888625288,-0.019928886252877476
0.4008,22.30585,0.1602,22.34228847362199,-0.03643847362199182
0.1891,20.4864,0.13035,20.471835341278158,0.014564658721841539
0.19731,20.4352,0.1122,20.574699516588282,-0.13949951658828397
0.12783,19.5616,0.132,19.53874178179715,0.022858218202848946
0.12291,19.44025,0.1033,19.44655541493846,-0.006305414938459819
0.12687,19.59325,0.10365,19.521018531406476,0.07223146859352525
0.21311,20.67635,0.1429,20.761999546412156,-0.0856495464121565
0.21075,20.727,0.12695,20.734854075621065,-0.007854075621064993
0.26826,21.4883,0.15275,21.328436754510072,0.1598632454899267
0.20431,20.66435,0.12435,20.65932731302422,0.005022686975777901
0.26991,21.2859,0.12695,21.34367286774153,-0.05777286774153012
0.24162,20.98075,0.15175,21.06972342701323,-0.08897342701322941
0.2908,21.236,0.14645,21.52951375857907,-0.2935137585790706
0.35306,21.81675,0.1515,22.01848419244608,-0.20173419244608226
0.28509,21.60225,0.15435,21.47996626451412,0.12228373548588323
0.21929,20.6719,0.1534,20.83179242104199,-0.1598924210419881
0.17537,20.24765,0.1249,20.29020080616111,-0.04255080616110973
0.23517,20.9929,0.1458,21.003149034516795,-0.010249034516796485
0.15298,19.99965,0.1096,19.9635867632188,0.03606323678119949
0.20982,20.90475,0.1584,20.724079870523518,0.1806701294764821
0.29121,21.51945,0.1501,21.533036994512656,-0.013586994512657213
0.31353,21.8225,0.14945,21.71828291751389,0.10421708248611239
0.13672,19.7402,0.1138,19.69719103292678,0.043008967073220106
0.29532,21.7708,0.1925,21.568105799177204,0.20269420082279765
0.30369,21.49625,0.135,21.638158949555446,-0.14190894955544664
0.20532,20.73155,0.1351,20.67131629044688,0.06023370955311691
0.12175,19.34125,0.09805,19.424316561491885,-0.0830665614918864
0.17424,20.2369,0.11045,20.274670978444227,-0.03777097844422883
0.24862,21.2028,0.13995,21.140150239409046,0.06264976059095417
0.2453,21.1159,0.14105,21.106978234965553,0.008921765034447304
0.13816,19.8495,0.1169,19.721945067996074,0.12755493200392465
0.24288,21.02795,0.1175,21.082537532231065,-0.05458753223106427
