z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.21198,20.68915,0.12295,40.64769777542678,-0.15228092153357053,-0.08542173885977448
0.21327,20.78295,0.1364,40.66304446990927,-0.07382761601606802,-0.08611392374646823
0.14393,19.83575,0.113,39.681397246715136,-0.03938039282192918,-0.050542071073708415
0.25218,21.1678,0.16095,41.09553279020772,-0.12146593631451452,-0.1073915805555735
0.25641,21.2758,0.1749,41.13921137000087,-0.05714451610766602,-0.10974596138070314
0.2186,20.976,0.1685,40.72645119158755,0.05581566230565471,-0.0889837351128776
0.07883,18.5397,0.12205,38.24465128947944,0.10131556441376333,-0.021682163838000815
0.08328,18.7438,0.11605,38.374911246832575,0.17515560706063127,-0.023450137940757
0.17008,20.2489,0.107,40.092702151019985,-0.037535297126780165,-0.06351863735190572
0.23643,20.87655,0.14325,40.92799220326058,-0.24517534936737206,-0.09869178554704922
0.30538,21.3803,0.19765,41.60160909819159,-0.4150422442983839,-0.1374574067193357
0.08286,18.5179,0.1055,38.36341285158214,-0.03924599768893344,-0.023281705532603416
0.18905,20.2039,0.1187,40.357651344392316,-0.34748449049910946,-0.07328638678534806
0.08162,18.511,0.10425,38.32687083247362,-0.00960397858041162,-0.022786315317503757
0.25626,21.2564,0.16145,41.13769469366893,-0.07502783977572136,-0.10966235037432961
0.12631,19.58525,0.13485,39.36363902221009,0.027877831683117194,-0.0421803637716847
0.1028,19.16175,0.1443,38.86996608059575,0.09805077329745515,-0.0316092349307835
0.1244,19.4784,0.1006,39.32659238346807,-0.04192552957486129,-0.041295051419233515
0.37003,22.46065,0.1636,42.12369138291801,0.1432254709751959,-0.1749586556557764
0.20192,20.38595,0.11475,40.52390667360734,-0.3316898197141356,-0.08005715498584413
0.18004,20.68245,0.14335,40.23502238622109,0.25369446767211556,-0.06861363068696297
0.16163,20.1359,0.1299,39.966252705343095,-0.024085851449889617,-0.05925870455395164
0.22644,20.8771,0.141,40.81684499924734,-0.1334781453541325,-0.09323271357734388
0.29649,21.4449,0.1446,41.52262838161216,-0.2714615277189516,-0.13237195459186527
0.24999,21.20115,0.13305,41.072901768496926,-0.06548491460372219,-0.10617550584871355
0.14864,19.91815,0.1063,39.759912393059246,-0.03549553916603898,-0.052832566430134134
0.14711,19.776,0.10335,39.73440747290925,-0.15214061901604126,-0.05208611491364245
0.2149,21.20185,0.1483,40.68243602960421,0.3256808242889946,-0.08698988762428099
