time,Bx,By,Bz,B_total
2019-03-06 19:34:56+00:00,-145365616.0,-17406575.2,623095.11,146405394.1040726
2019-03-06 19:34:57+00:00,-145365616.0,-17406606.0,623094.74,146405397.76440522
2019-03-06 19:34:58+00:00,-145365616.0,-17406637.2,623094.36,146405401.472259
2019-03-06 19:34:59+00:00,-145365616.0,-17406668.0,623093.99,146405405.1326045
2019-03-06 19:35:00+00:00,-145365616.0,-17406692.0,623093.73,146405407.98494667
2019-03-06 19:35:01+00:00,-145365616.0,-17406731.19,623093.25,146405412.64235613
2019-03-06 19:35:02+00:00,-145365616.0,-17406762.06,623092.88,146405416.3110437
2019-03-06 19:35:03+00:00,-145365616.0,-17406792.92,623092.51,146405419.97854874
2019-03-06 19:35:04+00:00,-145365616.0,-17406823.78,623092.14,146405423.64606017
2019-03-06 19:35:05+00:00,-145365616.0,-17406857.0,623091.72,146405427.5939572
2019-03-06 19:35:06+00:00,-145365617.52,-17406885.67,623091.36,146405432.5103488
2019-03-06 19:35:07+00:00,-145365619.21,-17406916.64,623090.98,146405437.86891246
2019-03-06 19:35:08+00:00,-145365620.91,-17406947.6,623090.61,146405443.2362651
2019-03-06 19:35:09+00:00,-145365622.61,-17406978.57,623090.24,146405448.6048131
2019-03-06 19:35:10+00:00,-145365624.3,-17407009.54,623089.87,146405453.96343845
2019-03-06 19:35:11+00:00,-145365626.0,-17407040.5,623089.5,146405459.33081022
2019-03-06 19:35:12+00:00,-145365627.7,-17407071.47,623089.13,146405464.6993773
2019-03-06 19:35:13+00:00,-145365629.39,-17407102.43,623088.76,146405470.05683285
2019-03-06 19:35:14+00:00,-145365631.09,-17407133.4,623088.39,146405475.4254127
2019-03-06 19:35:15+00:00,-145365632.0,-17407165.0,623088.01,146405480.08447242
2019-03-06 19:35:16+00:00,-145365632.0,-17407195.8,623087.64,146405483.744927
2019-03-06 19:35:17+00:00,-145365632.0,-17407227.0,623087.26,146405487.45290434
2019-03-06 19:35:18+00:00,-145365632.0,-17407257.8,623086.89,146405491.11337173
