z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
1.584618272841051612e+00,1.749749389994705950e+02,3.928039983814446967e-01,1.065960299454056459e+00,1.789423557482700460e+02,3.488670746139594936e-01,1.000000000000000000e+00,7.142167317057753363e-04,9.395340554991785664e-01,5.975172776911568534e-02
1.588360450563204074e+00,1.753279591389801055e+02,3.933302530090472260e-01,1.065647434188024656e+00,1.792919909832055794e+02,3.494579190764971477e-01,1.000000000000000000e+00,7.154721710665599890e-04,9.398248150086634389e-01,5.945971282027001648e-02
1.592102628285356980e+00,1.756813131197134226e+02,3.938533461101720867e-01,1.065336464231723346e+00,1.796419557303828185e+02,3.500458718519487977e-01,1.000000000000000000e+00,7.167269120985476178e-04,9.401138190068585310e-01,5.916945408104286319e-02
1.595844806007509442e+00,1.760350003846828884e+02,3.943732996531889023e-01,1.065027376412222226e+00,1.799922495273687275e+02,3.506309492666617178e-01,1.000000000000000000e+00,7.179809583197977645e-04,9.404010796939186179e-01,5.888093934776170851e-02
1.599586983729662348e+00,1.763890203796856611e+02,3.948901354397333918e-01,1.064720157656591892e+00,1.803428719135268921e+02,3.512131675493033733e-01,1.000000000000000000e+00,7.192343132312749212e-04,9.406866091773897764e-01,5.859415650937904729e-02
1.603329161451814810e+00,1.767433725532843596e+02,3.954038751059957835e-01,1.064414794991131341e+00,1.806938224300080265e+02,3.517925428313997127e-01,1.000000000000000000e+00,7.204869803168866948e-04,9.409704194729260340e-01,5.830909354675703482e-02
1.607071339173967717e+00,1.770980563567893853e+02,3.959145401240007356e-01,1.064111275540599699e+00,1.810451006197414756e+02,3.523690911478724042e-01,1.000000000000000000e+00,7.217389630435253316e-04,9.412525225050003552e-01,5.802573853195613918e-02
1.610813516896120179e+00,1.774530712442396521e+02,3.964221518028775981e-01,1.063809586527453943e+00,1.813967060274260916e+02,3.529428284375727420e-01,1.000000000000000000e+00,7.229902648611049058e-04,9.415329301076094115e-01,5.774407962752941409e-02
1.614555694618273085e+00,1.778084166723848796e+02,3.969267312901232359e-01,1.063509715271091949e+00,1.817486381995213378e+02,3.535137705438167743e-01,1.000000000000000000e+00,7.242408892026047955e-04,9.418116540249762414e-01,5.746410508582112248e-02
1.618297872340425547e+00,1.781640921006667213e+02,3.974282995728545820e-01,1.063211649187100649e+00,1.821008966842381938e+02,3.540819332149157117e-01,1.000000000000000000e+00,7.254908394841105574e-04,9.420887059122450280e-01,5.718580324827077926e-02
1.622040050062578453e+00,1.785200969912012283e+02,3.979268774790544194e-01,1.062915375786508410e+00,1.824534810315307993e+02,3.546473321047087790e-01,1.000000000000000000e+00,7.267401191048583793e-04,9.423640973361741002e-01,5.690916254472111468e-02
1.625782227784730916e+00,1.788764308087609436e+02,3.984224856788067815e-01,1.062620882675044731e+00,1.828063907930874734e+02,3.552099827730899051e-01,1.000000000000000000e+00,7.279887314472769299e-04,9.426378397758210514e-01,5.663417149273159562e-02
1.629524405506883822e+00,1.792330930207566553e+02,3.989151446855248584e-01,1.062328157552402175e+00,1.831596255223218463e+02,3.557699006865367997e-01,1.000000000000000000e+00,7.292366798770348471e-04,9.429099446232265258e-01,5.636081869689647111e-02
1.633266583229036284e+00,1.795900830972200879e+02,3.994048748571696339e-01,1.062037188211507166e+00,1.835131847743643903e+02,3.563271012186359776e-01,1.000000000000000000e+00,7.304839677430832387e-04,9.431804231840891228e-01,5.608909284816769591e-02
1.637008760951189190e+00,1.799474005107861956e+02,3.998916963974608607e-01,1.061747962537792134e+00,1.838670681060535799e+02,3.568815996506070065e-01,1.000000000000000000e+00,7.317305983777047966e-04,9.434492866784400800e-01,5.581898272318224635e-02
1.640750938673341652e+00,1.803050447366760807e+02,4.003756293570780445e-01,1.061460468508475197e+00,1.842212750759276787e+02,3.574334111718248663e-01,1.000000000000000000e+00,7.329765750965588997e-04,9.437165462413088513e-01,5.555047718359459180e-02
1.644493116395494559e+00,1.806630152526794575e+02,4.008566936348546550e-01,1.061174694191844292e+00,1.845758052442159283e+02,3.579825508803410328e-01,1.000000000000000000e+00,7.342219011987306202e-04,9.439822129233874648e-01,5.528356517541369031e-02
1.648235294117647465e+00,1.810213115391372583e+02,4.013349089789624569e-01,1.060890627746546189e+00,1.849306581728297090e+02,3.585290337834013963e-01,1.000000000000000000e+00,7.354665799667785362e-04,9.442462976916882189e-01,5.501823572834494552e-02
1.651977471839799927e+00,1.813799330789252622e+02,4.018102949880880681e-01,1.060608257420880607e+00,1.852858334253548662e+02,3.590728747979649582e-01,1.000000000000000000e+00,7.367106146667846056e-04,9.445088114301968263e-01,5.475447795513626453e-02
1.655719649561952833e+00,1.817388793574368719e+02,4.022828711126014145e-01,1.060327571552100556e+00,1.856413305670427007e+02,3.596140887512182527e-01,1.000000000000000000e+00,7.379540085484038222e-04,9.447697649405222275e-01,5.449228105092932678e-02
1.659461827284105295e+00,1.820981498625660890e+02,4.027526566557144694e-01,1.060048558565714671e+00,1.859971491648016411e+02,3.601526903810889912e-01,1.000000000000000000e+00,7.391967648449133304e-04,9.450291689425395214e-01,5.423163429261554369e-02
1.663204005006258202e+00,1.824577440846914556e+02,4.032196707746336650e-01,1.059771206974798430e+00,1.863532887871892001e+02,3.606886943367584308e-01,1.000000000000000000e+00,7.404388867732671770e-04,9.452870340750306744e-01,5.397252703819613306e-02
1.666946182728410664e+00,1.828176615166590864e+02,4.036839324817020347e-01,1.059495505379307367e+00,1.867097490044033918e+02,3.612221151791705775e-01,1.000000000000000000e+00,7.416803775341443417e-04,9.455433708963185691e-01,5.371494872614722416e-02
1.670688360450563570e+00,1.831779016537666678e+02,4.041454606455349152e-01,1.059221442465396734e+00,1.870665293882748585e+02,3.617529673815414459e-01,1.000000000000000000e+00,7.429212403120032723e-04,9.457981898848984992e-01,5.345888887478948692e-02
1.674430538172716032e+00,1.835384639937466602e+02,4.046042739921451026e-01,1.058949007004745591e+00,1.874236295122579747e+02,3.622812653298636554e-01,1.000000000000000000e+00,7.441614782751329506e-04,9.460515014400623368e-01,5.320433708166243808e-02
1.678172715894868938e+00,1.838993480367506663e+02,4.050603911060627338e-01,1.058678187853886454e+00,1.877810489514235144e+02,3.628070233234120812e-01,1.000000000000000000e+00,7.454010945757095965e-04,9.463033158825214786e-01,5.295128302290288275e-02
1.681914893617021400e+00,1.842605532853333443e+02,4.055138304314439557e-01,1.058408973953538279e+00,1.881387872824500107e+02,3.633302555752461194e-01,1.000000000000000000e+00,7.466400923498467575e-04,9.465536434550219091e-01,5.269971645262836596e-02
1.685657071339174307e+00,1.846220792444363497e+02,4.059646102731740980e-01,1.058141354327946093e+00,1.884968440836158834e+02,3.638509762127094538e-01,1.000000000000000000e+00,7.478784747176528804e-04,9.468024943229575996e-01,5.244962720232486386e-02
1.689399249061326769e+00,1.849839254213724189e+02,4.064127487979610209e-01,1.057875318084224858e+00,1.888552189347910826e+02,3.643691992779291566e-01,1.000000000000000000e+00,7.491162447832838949e-04,9.470498785749774662e-01,5.220100518023925579e-02
1.693141426783479675e+00,1.853460913258101073e+02,4.068582640354210245e-01,1.057610854411707990e+00,1.892139114174296424e+02,3.648849387283124579e-01,1.000000000000000000e+00,7.503534056350008932e-04,9.472958062235892207e-01,5.195384037077583478e-02
1.696883604505632137e+00,1.857085764697580146e+02,4.073011738791569303e-01,1.057347952581299877e+00,1.895729211145612396e+02,3.653982084370406280e-01,1.000000000000000000e+00,7.515899603452246653e-04,9.475402872057571146e-01,5.170812283389760594e-02
1.700625782227785043e+00,1.860713803675494660e+02,4.077414960878279482e-01,1.057086601944835502e+00,1.899322476107836906e+02,3.659090221935624720e-01,1.000000000000000000e+00,7.528259119705925113e-04,9.477833313834975737e-01,5.146384270453186610e-02
