p,q,dAIC,AIC,chi2,sqrtA
0.35,0.5,24.127432422527363,1163.9306902695641,1157.9306902695641,2.2214114385692305
0.35625,0.5,24.079323834240085,1163.8825816812769,1157.8825816812769,2.216058644485329
0.3625,0.5,23.98653469148826,1163.789792538525,1157.789792538525,2.210823551178347
0.36875,0.5,23.850538289820634,1163.6537961368574,1157.6537961368574,2.2057037322451962
0.375,0.5,23.67279191814032,1163.476049765177,1157.476049765177,2.2006968009462624
0.38125,0.5,23.45473581709166,1163.2579936641284,1157.2579936641284,2.1958004101004236
0.38749999999999996,0.5,23.197792207474322,1163.001050054511,1157.001050054511,2.191012251951593
0.39375,0.5,22.903364387502506,1162.7066222345393,1156.7066222345393,2.186330058008013
0.4,0.5,22.572835897637788,1162.3760937446746,1156.3760937446746,2.1817515988554828
0.40625,0.5,22.207569751555184,1162.010827598592,1156.010827598592,2.177274683945774
0.4125,0.5,21.80890773171609,1161.6121655787529,1155.6121655787529,2.1728971613614445
0.41874999999999996,0.5,21.378169747927586,1161.1814275949644,1155.1814275949644,2.1686169175582743
0.425,0.5,20.916653257156895,1160.7199111041937,1154.7199111041937,2.164431877086518
0.43125,0.5,20.425632742809967,1160.2288905898467,1154.2288905898467,2.160340002292216
0.4375,0.5,19.90635925162951,1159.7096170986663,1153.7096170986663,2.156339292999709
0.44375,0.5,19.36005998628525,1159.163317833322,1153.163317833322,2.152427786176543
0.44999999999999996,0.5,18.78793795171282,1158.5911957987496,1152.5911957987496,2.14860355558193
0.45625,0.5,18.19117165320381,1157.9944295002406,1151.9944295002406,2.1448647113998733
0.46249999999999997,0.5,17.57091484423745,1157.3741726912742,1151.3741726912742,2.1412093998580746
0.46875,0.5,16.928296322021424,1156.7315541690582,1150.7315541690582,2.1376358028336995
0.475,0.5,16.26441976870001,1156.0676776157368,1150.0676776157368,2.134142137447065
0.48125,0.5,15.580363636185666,1155.3836214832224,1149.3836214832224,2.1307266556442515
0.4875,0.5,14.877181072587064,1154.6804389196238,1148.6804389196238,2.1273876437696555
0.49374999999999997,0.5,14.155899888191925,1153.9591577352287,1147.9591577352287,2.124123422129444
0.5,0.5,13.417522559018607,1153.2207804060554,1147.2207804060554,2.1209323445468238
0.50625,0.5,12.66302626593415,1152.466284112971,1146.466284112971,2.117812797910054
0.5125,0.5,11.893362967393841,1151.6966208144306,1145.6966208144306,2.1147632017140365
0.51875,0.5,11.10945950387827,1150.912717350915,1144.912717350915,2.111782007596354
0.5249999999999999,0.5,10.312217732133377,1150.1154755791702,1144.1154755791702,2.10886769886852
0.53125,0.5,9.502514687379517,1149.3057725344163,1143.3057725344163,2.1060187900432306
0.5375,0.5,8.681202771670996,1148.4844606187078,1142.4844606187078,2.1032338263583426
0.54375,0.5,7.849109966659853,1147.6523678136966,1141.6523678136966,2.1005113832982776
0.55,0.5,7.007040069049481,1146.8102979160863,1140.8102979160863,2.097850066113523
0.5562499999999999,0.5,6.155772947074183,1145.959030794111,1139.959030794111,2.0952485093388575
0.5625,0.5,5.296064816403714,1145.0993226634405,1139.0993226634405,2.0927053763109074
0.56875,0.5,4.42864853391643,1144.2319063809532,1138.2319063809532,2.090219358685603
0.575,0.5,3.5542339078283476,1143.3574917548651,1137.3574917548651,2.087789175956073
0.58125,0.5,2.673508022753822,1142.4767658697906,1136.4767658697906,2.0854135749714895
0.5874999999999999,0.5,1.7871355782856426,1141.5903934253224,1135.5903934253224,2.083091329457338
0.59375,0.5,0.8957592397712233,1140.699017086808,1134.699017086808,2.0808212395375634
0.6,0.5,0.0,1139.8032578470368,1133.8032578470368,2.0786021312590144
