L_m,dt_tfgr
501591.5078342758,6.2455840234859e-19
512690.0954314028,6.25058333541779e-19
524034.2586507786,6.255606653080861e-19
535629.4312816773,6.260654095665496e-19
547481.167345447,6.265725782985382e-19
559595.1437558458,6.270821835480988e-19
571977.1630382639,6.275942374223097e-19
584633.1561090911,6.281087520916318e-19
597569.1851165947,6.286257397902659e-19
610791.4463446552,6.2914521281650895e-19
624306.2731807423,6.296671835331149e-19
638120.1391495849,6.301916643676555e-19
652239.6610139434,6.307186678128857e-19
666671.6019440028,6.312482064271095e-19
681422.874756896,6.317802928345472e-19
696500.5452278927,6.323149397257086e-19
711911.8354748809,6.328521598577635e-19
727664.1274177101,6.333919660549193e-19
743764.9663140911,6.339343712087965e-19
760222.0643737307,6.344793882788094e-19
777043.3044524401,6.350270302925484e-19
794236.7438279644,6.35577310346164e-19
811810.6180593919,6.361302416047538e-19
829773.3449319266,6.36685837302751e-19
848133.5284889633,6.372441107443167e-19
866899.9631533775,6.378050753037332e-19
886081.6379399905,6.383687444257999e-19
905687.7407612767,6.389351316262323e-19
925727.662828307,6.395042504920632e-19
946211.0031490889,6.400761146820453e-19
967147.5731264404,6.406507379270586e-19
988547.4012575799,6.412281340305162e-19
1010420.7379377425,6.418083168687777e-19
1032778.0603700451,6.423913003915612e-19
1055630.0775840108,6.4297709862235935e-19
1078987.7355651371,6.435657256588576e-19
1102862.2224979422,6.441571956733551e-19
1127264.9741250684,6.447515229131884e-19
1152207.6792249198,6.453487217011569e-19
1177702.2852105245,6.459488064359524e-19
1203761.0038522817,6.465517915925891e-19
1230396.3171273107,6.47157691722838e-19
1257620.9831982758,6.477665214556636e-19
1285448.042524453,6.483782954976631e-19
1313890.8241080414,6.489930286335073e-19
1342962.9518786783,6.496107357263859e-19
1372678.3512192294,6.50231431718455e-19
1403051.2556359444,6.508551316312852e-19
1434096.21357626,6.514818505663165e-19
1465828.0953973995,6.521116037053125e-19
1498262.1004891943,6.52744406310819e-19
1531413.7645545118,6.533802737266243e-19
1565298.9670507428,6.540192213782237e-19
1599933.938796008,6.546612647732862e-19
1635335.269743602,6.553064195021233e-19
1671519.916928493,6.559547012381616e-19
1708505.2125896513,6.566061257384187e-19
1746308.8724720657,6.572607088439798e-19
1784949.0043125253,6.579184664804807e-19
1824444.1165130942,6.585794146585899e-19
1864813.1270065368,6.592435694744971e-19
1906075.3723179076,6.599109471104016e-19
1948250.616826605,6.605815638350062e-19
1991359.062233442,6.612554360040137e-19
2035421.357237114,6.619325800606238e-19
2080458.6074248168,6.626130125360372e-19
2126492.3853817084,6.632967500499594e-19
2173544.7410240215,6.639838093111095e-19
2221638.212160898,6.646742071177311e-19
2270795.8352898345,6.653679603581072e-19
2321041.156631045,6.660650860110765e-19
2372398.2434059624,6.667656011465562e-19
2424891.695365312,6.674695229260641e-19
2478546.6565722106,6.681768686032462e-19
2533388.8274460877,6.688876555244077e-19
2589444.4770730007,6.6960190112904575e-19
2646740.455788388,6.703196229503868e-19
2705304.208038233,6.710408386159268e-19
2765163.785524758,6.717655658479744e-19
2826347.86064309,6.724938224641978e-19
2888885.7402151343,6.732256263781753e-19
2952807.3795273816,6.739609955999484e-19
3018143.396679334,6.746999482365791e-19
